<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HAN,20170615,9.50,9.50,9.50,9.50,100,9.50,9.50,9.50,9.50,0,0,0
HAN,20170609,9.50,9.50,9.50,9.50,100,9.50,9.50,9.50,9.50,0,0,0
HAN,20170531,10.00,10.00,10.00,10.00,100,10.00,10.00,10.00,10.00,0,0,0
HAN,20170530,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
HAN,20170529,11.90,11.90,11.90,11.90,100,11.90,11.90,11.90,11.90,0,0,0
HAN,20170424,11.90,11.90,11.90,11.90,30000,11.90,11.90,11.90,11.90,0,0,0
