<ngay>,<sl>,<gia>
20110510,0,15.40999984741211
20110511,0,15.470000267028809
20110512,0,15.470000267028809
20110513,0,15.579999923706055
20110514,0,15.579999923706055
20110515,0,15.579999923706055
20110516,0,15.359999656677246
20110517,0,15.359999656677246
20110518,0,15.359999656677246
20110519,0,15.25
20110520,0,15.09000015258789
20110521,0,15.09000015258789
20110522,0,15.09000015258789
20110523,0,14.369999885559082
20110524,0,13.65999984741211
20110525,0,13.0
20110526,0,13.489999771118164
20110527,0,13.770000457763672
20110528,0,13.770000457763672
20110529,0,13.770000457763672
