<ngay>,<sl>,<gia>
20110510,0,3.9700000286102295
20110511,0,3.940000057220459
20110512,0,3.869999885559082
20110513,0,4.059999942779541
20110514,0,4.059999942779541
20110515,0,4.059999942779541
20110516,0,4.03000020980835
20110517,0,3.9100000858306885
20110518,0,3.7799999713897705
20110519,0,3.8399999141693115
20110520,0,3.9700000286102295
20110521,0,3.9700000286102295
20110522,0,3.9700000286102295
20110523,0,3.7799999713897705
20110524,0,3.5999999046325684
20110525,0,3.450000047683716
20110526,0,3.5399999618530273
20110527,0,3.630000114440918
20110528,0,3.630000114440918
20110529,0,3.630000114440918
