<ngay>,<sl>,<gia>
20101023,0,9.510000228881836
20101024,0,9.510000228881836
20101025,0,9.510000228881836
20101026,0,9.970000267028809
20101027,0,10.4399995803833
20101028,0,10.029999732971191
20101029,0,9.800000190734863
20101030,0,9.739999771118164
20101031,0,9.739999771118164
20101101,0,9.739999771118164
20101102,0,9.619999885559082
20101103,0,9.390000343322754
20101104,0,9.329999923706055
20101105,0,9.390000343322754
20101106,0,9.619999885559082
20101107,0,9.619999885559082
20101108,0,9.619999885559082
20101109,0,9.270000457763672
20101110,0,8.869999885559082
20101111,0,8.630000114440918
