<ngay>,<sl>,<gia>
20110510,0,7.920000076293945
20110511,0,7.920000076293945
20110512,0,7.920000076293945
20110513,0,7.920000076293945
20110514,0,7.920000076293945
20110515,0,7.920000076293945
20110516,0,7.920000076293945
20110517,0,8.010000228881836
20110518,0,7.920000076293945
20110519,0,7.820000171661377
20110520,0,7.71999979019165
20110521,0,7.71999979019165
20110522,0,7.71999979019165
20110523,0,7.71999979019165
20110524,0,7.340000152587891
20110525,0,7.050000190734863
20110526,0,7.340000152587891
20110527,0,7.630000114440918
20110528,0,7.630000114440918
20110529,0,7.630000114440918
